timestamp,prediction,label_name,confidence,pps,unique_ports,rst,icmp,top_port
1781845193.721,0,Normal,1.0000,3,2,0,0,5353
1781845195.409,0,Normal,1.0000,9,3,0,0,5353
1781845196.948,0,Normal,1.0000,12,2,0,0,7151
1781845205.859,0,Normal,1.0000,6,1,0,0,57621
1781845208.412,0,Normal,0.9900,7,0,0,0,0
1781845209.413,1,SYN Flood,0.9100,3597,2917,2916,0,80
1781845210.413,1,SYN Flood,0.9000,3325,2712,2711,0,80
1781845211.413,1,SYN Flood,0.9000,3506,2859,2858,0,80
1781845212.413,1,SYN Flood,0.9400,5001,2016,2014,0,80
1781845213.414,1,SYN Flood,0.8800,2359,1070,1069,0,80
1781845214.415,1,SYN Flood,0.6500,2674,1269,1267,0,80
1781845215.416,1,SYN Flood,0.8300,2492,1152,1150,0,80
1781845216.416,1,SYN Flood,0.8400,2188,960,959,0,80
1781845217.416,1,SYN Flood,0.8300,2184,931,930,0,80
1781845218.416,1,SYN Flood,0.7200,2554,1196,1194,0,80
1781845219.416,1,SYN Flood,0.8700,2393,1078,1076,0,80
1781845220.417,1,SYN Flood,0.8700,2422,1102,1101,0,80
1781845221.418,1,SYN Flood,0.8700,2452,1095,1094,0,80
1781845222.418,1,SYN Flood,0.8700,2288,1033,1032,0,80
1781845223.419,1,SYN Flood,0.8500,2377,1130,1129,0,80
1781845224.419,1,SYN Flood,0.8200,2441,1156,1155,0,80
1781845225.419,1,SYN Flood,0.6700,2548,1256,1255,0,80
1781845427.937,0,Normal,1.0000,7,1,0,0,5353
1781845429.628,0,Normal,1.0000,4,1,0,0,5353
1781845430.666,0,Normal,1.0000,1,0,0,0,0
1781845431.697,0,Normal,1.0000,1,0,0,0,0
1781845432.89,0,Normal,1.0000,4,2,0,0,5353
1781845433.92,0,Normal,1.0000,2,0,0,0,0
1781845434.942,0,Normal,0.9500,2,1,0,0,5353
1781845435.968,0,Normal,0.9900,6,0,0,0,0
1781845436.993,0,Normal,1.0000,12,1,0,0,7151
1781845438.923,0,Normal,0.9400,1,1,0,0,57621
1781845442.115,0,Normal,1.0000,1,0,0,0,0
1781845443.115,2,UDP Flood,0.9900,2193,1,0,6,80
1781845444.116,2,UDP Flood,0.9500,3367,1,0,0,80
1781845445.116,2,UDP Flood,0.9900,3040,1,0,1,80
1781845446.117,2,UDP Flood,1.0000,2782,1,0,1,80
1781845447.117,2,UDP Flood,1.0000,2790,1,0,1,80
1781845448.117,2,UDP Flood,1.0000,2899,1,0,1,80
1781845449.117,2,UDP Flood,1.0000,2516,2,0,1,80
1781845450.117,2,UDP Flood,0.9900,3580,1,0,1,80
1781845451.117,2,UDP Flood,0.9400,6875,2,0,0,80
1781845452.117,2,UDP Flood,0.9500,7091,2,0,0,80
1781845453.117,2,UDP Flood,0.9900,6049,1,0,1,80
1781845454.123,2,UDP Flood,1.0000,2625,2,0,1,80
1781845455.123,2,UDP Flood,0.9900,3188,2,0,1,80
1781845456.124,2,UDP Flood,1.0000,2855,1,0,1,80
1781845457.124,2,UDP Flood,1.0000,2824,2,0,1,80
1781845458.124,2,UDP Flood,1.0000,2344,1,0,1,80
1781845459.124,2,UDP Flood,1.0000,2157,1,0,1,80
1781845460.124,2,UDP Flood,1.0000,2232,1,0,1,80
1781845461.124,2,UDP Flood,1.0000,2178,2,0,1,80
1781845462.14,2,UDP Flood,1.0000,2060,1,0,1,80
1781845463.14,2,UDP Flood,0.9900,1550,1,0,1,80
1781845464.14,2,UDP Flood,0.9700,1518,1,0,1,80
1781845465.141,2,UDP Flood,0.8300,1168,1,0,0,80
1781845466.141,2,UDP Flood,0.9700,1523,1,0,1,80
1781845467.141,2,UDP Flood,0.9700,1524,1,0,1,80
1781845468.142,2,UDP Flood,0.9500,1769,1,0,0,80
1781845470.392,0,Normal,0.8800,210,3,0,0,80
1781845471.415,0,Normal,0.9900,104,0,0,0,0
1781845472.439,0,Normal,0.9900,106,0,0,0,0
1781845474.893,0,Normal,1.0000,90,2,0,0,5353
1781845476.087,0,Normal,0.8600,2,1,0,0,5353
1781845478.181,0,Normal,0.9300,2,1,0,0,547
1781845479.51,0,Normal,0.8600,4,0,0,0,0
1781845482.89,0,Normal,0.9900,6,0,0,0,0
1781845484.115,0,Normal,0.9600,6,0,0,0,0
1781845485.97,0,Normal,1.0000,4,3,0,0,5353
1781845486.972,0,Normal,0.9800,2,1,0,0,1900
1781845487.975,0,Normal,0.9200,1,1,0,0,1900
1781845488.978,3,ICMP Flood,1.0000,2444,0,0,2444,0
1781845489.978,3,ICMP Flood,1.0000,2354,0,0,2354,0
1781845490.978,3,ICMP Flood,1.0000,3124,0,0,3124,0
1781845491.978,3,ICMP Flood,1.0000,3208,0,0,3208,0
1781845492.978,3,ICMP Flood,1.0000,3104,0,0,3101,0
1781845493.979,3,ICMP Flood,1.0000,2009,0,0,2005,0
1781845494.979,3,ICMP Flood,0.9900,3249,1,0,3248,5353
1781845495.979,3,ICMP Flood,1.0000,3115,1,0,3114,5353
1781845496.982,3,ICMP Flood,1.0000,3196,1,0,3186,7151
1781845497.982,3,ICMP Flood,1.0000,2518,0,0,2517,0
1781845498.982,3,ICMP Flood,1.0000,2457,0,0,2457,0
1781845499.982,3,ICMP Flood,1.0000,2595,0,0,2595,0
1781845500.983,3,ICMP Flood,1.0000,2653,0,0,2653,0
1781845501.983,3,ICMP Flood,1.0000,1900,0,0,1897,0
1781845502.983,3,ICMP Flood,1.0000,2218,0,0,2216,0
1781845503.983,3,ICMP Flood,1.0000,2511,0,0,2511,0
1781845504.984,3,ICMP Flood,1.0000,1890,0,0,1890,0
1781845505.984,3,ICMP Flood,1.0000,1869,0,0,1869,0
1781845506.984,3,ICMP Flood,1.0000,2239,0,0,2239,0
1781845507.984,3,ICMP Flood,1.0000,1891,0,0,1891,0
1781845508.985,3,ICMP Flood,1.0000,2105,0,0,2105,0
1781845509.985,3,ICMP Flood,1.0000,2332,0,0,2332,0
1781845510.985,3,ICMP Flood,1.0000,1994,0,0,1993,0
1781845511.985,3,ICMP Flood,1.0000,1937,0,0,1936,0
1781845512.985,3,ICMP Flood,1.0000,1937,0,0,1937,0
1781845513.986,3,ICMP Flood,1.0000,1587,0,0,1583,0
1781845514.987,3,ICMP Flood,1.0000,1625,0,0,1625,0
1781845515.987,3,ICMP Flood,1.0000,1981,1,0,1976,5353
1781845516.987,3,ICMP Flood,1.0000,1850,0,0,1850,0
1781845517.987,3,ICMP Flood,0.9800,1241,0,0,1241,0
1781845520.115,3,ICMP Flood,0.8700,1060,1,0,1058,57621
1781845523.256,0,Normal,0.9900,3,0,0,0,0
1781845524.325,0,Normal,1.0000,4,0,0,0,0
1781845525.717,0,Normal,0.9400,1,1,0,0,7151
1781845526.743,0,Normal,0.9800,2,1,0,0,5353
1781845528.401,0,Normal,0.9800,7,2,0,0,5353
1781845529.401,4,Port Scan,0.9900,2667,1731,935,0,2292
1781845530.401,4,Port Scan,1.0000,2885,1991,895,0,2292
1781845531.401,4,Port Scan,1.0000,2830,1584,1247,0,2292
1781845532.401,4,Port Scan,1.0000,3522,2102,1421,0,2292
1781845533.401,1,SYN Flood,0.5000,6154,4210,1944,0,2292
1781845534.401,4,Port Scan,0.7300,4380,2653,1726,0,2292
1781845535.402,4,Port Scan,0.9600,2433,1256,1173,0,2292
1781845536.402,4,Port Scan,0.9700,2443,1285,1159,0,2292
1781845537.403,4,Port Scan,0.9500,2361,1247,1115,0,2292
1781845538.403,4,Port Scan,0.9600,2406,1244,1163,0,2292
1781845539.403,4,Port Scan,0.9700,2439,1282,1157,0,2292
1781845540.403,4,Port Scan,0.9400,2403,1222,1178,0,2292
1781845541.404,4,Port Scan,0.9500,2394,1240,1154,0,2292
1781845542.404,4,Port Scan,0.9900,2555,1322,1233,0,2292
1781845543.405,4,Port Scan,0.9700,2471,1247,1223,0,2292
1781845544.406,4,Port Scan,0.9300,1750,913,836,0,2292
1781845545.406,4,Port Scan,1.0000,2521,1261,1260,0,2292
1781845546.406,4,Port Scan,0.9700,2456,1230,1225,0,2292
1781845547.406,4,Port Scan,0.8800,2230,1156,1073,0,2292
