timestamp,prediction,confidence,pps,unique_ports,rst,top_port
1781591532.214,0,1.0000,5,0,0,0
1781591533.239,0,1.0000,1,0,0,0
1781591534.262,0,1.0000,2,0,0,0
1781591535.288,0,1.0000,1,0,0,0
1781591536.311,0,1.0000,4,1,0,5353
1781591537.338,0,1.0000,1,0,0,0
1781591538.358,0,1.0000,3,0,0,0
1781591539.385,0,1.0000,3,0,0,0
1781591540.406,0,1.0000,2,1,0,57621
1781591541.43,0,1.0000,1,0,0,0
1781591542.455,0,1.0000,2,1,0,57621
1781591543.478,0,1.0000,1,0,0,0
1781591544.502,0,1.0000,1,0,0,0
1781591545.526,0,1.0000,1,0,0,0
1781591546.553,0,1.0000,3,0,0,0
1781591547.575,0,1.0000,2,0,0,0
1781591548.6,0,1.0000,1,0,0,0
1781591549.624,0,1.0000,1,0,0,0
1781591550.646,0,1.0000,1,0,0,0
1781591551.67,0,1.0000,4,0,0,0
1781591552.695,0,1.0000,1,0,0,0
1781591553.719,0,1.0000,1,0,0,0
1781591554.743,0,1.0000,1,0,0,0
1781591555.767,0,1.0000,1,0,0,0
1781591556.791,0,1.0000,3,1,0,5353
1781591557.814,0,1.0000,2,1,0,547
1781591559.774,0,1.0000,1,0,0,0
1781591562.843,0,1.0000,3,1,0,1900
1781591564.295,0,0.9400,19,2,0,1900
1781591565.506,0,1.0000,2,1,0,7151
1781591566.518,0,1.0000,2,0,0,0
1781591569.19,0,1.0000,2,0,0,0
1781591573.089,0,1.0000,4,1,0,57621
1781591576.236,0,1.0000,3,1,0,5353
1781591581.526,0,1.0000,5,2,0,5353
1781591583.43,0,1.0000,1,0,0,0
1781591585.975,0,1.0000,1,0,0,0
1781591588.636,0,1.0000,4,1,0,7151
1781591591.703,0,1.0000,10,2,0,7151
1781591592.703,0,1.0000,3,1,0,1900
1781591593.706,0,1.0000,5,1,0,1900
1781591595.948,0,1.0000,2,2,0,1900
1781591598.666,0,1.0000,4,1,0,5353
1781591600.665,0,1.0000,1,0,0,0
1781591602.979,0,1.0000,4,1,0,5353
1781591604.614,0,1.0000,2,2,0,5353
1781591606.959,0,1.0000,2,1,0,1900
1781591610.342,0,1.0000,4,0,0,0
1781591611.388,0,1.0000,4,0,0,0
1781591612.41,0,1.0000,1,0,0,0
1781591613.443,0,1.0000,1,0,0,0
1781591614.455,0,1.0000,1,0,0,0
1781591615.49,0,1.0000,1,0,0,0
1781591616.507,0,1.0000,3,1,0,5353
1781591617.535,0,1.0000,1,0,0,0
1781591618.558,0,1.0000,1,0,0,0
1781591619.576,0,1.0000,5,1,0,57621
1781591620.598,0,1.0000,2,0,0,0
1781591621.626,0,1.0000,1,0,0,0
1781591624.254,0,1.0000,1,1,0,7151
1781591627.226,0,1.0000,2,1,0,7151
1781591632.852,0,1.0000,3,0,0,0
1781591636.252,0,1.0000,5,1,0,5353
1781592169.241,0,1.0000,4,0,0,0
1781592171.212,0,1.0000,1,1,0,57621
1781592175.683,0,1.0000,4,0,0,0
1781592179.71,0,1.0000,1,0,0,0
1781592189.433,0,1.0000,3,0,0,0
1781592191.404,0,1.0000,14,2,0,7151
1781592192.406,0,1.0000,2,1,0,1900
1781592193.407,0,1.0000,1,1,0,1900
1781592194.41,0,1.0000,1,1,0,1900
1781592195.647,0,1.0000,1,1,0,5353
1781592196.803,0,1.0000,2,1,0,5353
1781592199.703,0,1.0000,3,0,0,0
1781592205.711,0,1.0000,1,0,0,0
1781592208.778,0,1.0000,4,1,0,57621
1781592214.275,0,1.0000,3,0,0,0
1781592217.171,0,1.0000,1,0,0,0
1781592218.195,0,1.0000,1,0,0,0
1781592219.855,0,1.0000,4,0,0,0
1781592222.855,0,1.0000,1,0,0,0
1781592224.438,0,1.0000,3,0,0,0
1781592231.704,0,1.0000,3,1,0,7151
1781592232.74,0,1.0000,8,1,0,5353
1781592236.205,0,1.0000,2,2,0,5353
1781592238.423,0,1.0000,1,0,0,0
1781592240.301,0,1.0000,1,0,0,0
1781592245.206,0,1.0000,3,1,0,5353
1781592246.213,0,1.0000,10,1,0,5353
1781592247.22,0,1.0000,2,1,0,5353
1781592249.051,0,1.0000,4,2,0,5353
1781592250.416,0,1.0000,13,2,0,7151
1781592257.292,0,1.0000,3,1,0,5353
1781592262.604,0,1.0000,3,0,0,0
1781592264.704,0,1.0000,2,1,0,80
1781592266.191,0,1.0000,6,1,0,57621
1781592268.039,0,1.0000,3,1,0,80
1781592271.254,0,1.0000,7,2,0,5353
1781592273.403,0,1.0000,5,1,0,80
1781592275.443,0,1.0000,2,1,0,80
1781592277.288,0,1.0000,4,1,0,80
1781592279.664,0,1.0000,3,1,0,80
1781592281.116,0,1.0000,6,0,0,0
1781592282.324,0,1.0000,4,1,0,80
1781592283.492,0,1.0000,1,0,0,0
1781592284.62,0,1.0000,5,2,0,80
1781592285.679,0,1.0000,2,2,0,7151
1781592287.063,0,1.0000,2,1,0,80
1781592289.022,0,1.0000,4,0,0,0
1781592291.163,0,1.0000,6,1,0,80
1781592293.371,0,1.0000,2,1,0,80
1781592295.425,0,1.0000,3,2,0,57621
1781592298.028,0,1.0000,5,2,0,80
1781592300.215,0,1.0000,6,1,0,80
1781592302.264,0,1.0000,2,1,0,80
1781592304.303,0,1.0000,2,1,0,80
1781592306.127,0,1.0000,2,1,0,80
1781592307.386,0,1.0000,4,0,0,0
1781592309.814,0,1.0000,3,1,0,80
1781592311.343,0,1.0000,12,2,0,7151
1781592547.762,0,1.0000,1,0,0,0
1781592550.629,0,1.0000,3,1,0,7151
1781592552.05,0,1.0000,11,2,0,7151
1781592553.206,0,1.0000,2,2,0,1900
1781592554.236,0,1.0000,2,1,0,1900
1781592555.467,0,1.0000,1,1,0,5353
1781592557.081,0,1.0000,4,1,0,5353
1781592560.26,0,1.0000,1,1,0,57621
1781592563.259,0,1.0000,3,1,0,57621
1781592565.208,0,1.0000,3,0,0,0
1781592570.794,0,1.0000,1,0,0,0
1781592572.8,0,1.0000,2,0,0,0
1781592574.168,0,1.0000,1,0,0,0
1781592575.191,0,1.0000,2,0,0,0
1781592579.519,0,1.0000,1,1,0,57621
1781592582.236,0,1.0000,4,1,0,547
1781592584.814,0,1.0000,1,1,0,7151
1781592588.089,0,1.0000,2,1,0,7151
1781592591.874,0,1.0000,3,0,0,0
1781592593.246,0,1.0000,3,1,0,57621
1781592595.458,0,1.0000,1,0,0,0
1781592600.78,0,1.0000,3,0,0,0
1781592607.331,0,1.0000,4,0,0,0
1781592610.81,0,1.0000,3,1,0,7151
1781592612.45,0,1.0000,13,2,0,7151
1781592615.007,0,0.9400,20,1,0,1900
1781592624.525,0,1.0000,3,0,0,0
1781592628.261,0,1.0000,3,1,0,57621
1781592630.465,0,1.0000,4,0,0,0
1781592631.894,0,1.0000,1,0,0,0
1781592633.64,0,1.0000,3,0,0,0
1781592641.618,0,1.0000,1,0,0,0
1781592644.894,0,1.0000,4,1,0,7151
1781592646.007,0,1.0000,4,1,0,7151
